Date,Team,Opponent,Imp_H,Imp_D,Imp_A,Mod_H,Mod_D,Mod_A,suspicious
2024-03-09,Arsenal,Brentford,0.7780921584478578,0.13561034761519808,0.08629749393694423,0.16837436543830986,0.060259940931492895,0.7713656936301972,True
2021-10-02,Leeds,Watford,0.5608856088560886,0.23837638376383766,0.2007380073800738,0.25960826473756266,0.17916266875149534,0.561229066510942,True
2025-05-02,Metz,Rodez,0.5924839182936463,0.22147613136214875,0.18603995034420498,0.18892262698877263,0.17417058124167958,0.6369067917695478,True
2024-10-05,Crystal Palace,Liverpool,0.15789473684210528,0.2105263157894737,0.6315789473684211,0.22805774462188402,0.6542177528954549,0.11772450248266102,True
2021-10-09,Wycombe,Gillingham,0.5898914063547392,0.23743129105778257,0.17267730258747824,0.23554891295456137,0.17905157311655567,0.5853995139288829,True
2020-09-20,Genk,Mechelen,0.5806254456554956,0.2225730875012733,0.19680146684323113,0.20367836094456204,0.14331778911774876,0.6530038499376891,True
2021-08-14,Paris SG,Strasbourg,0.7913043478260869,0.13565217391304346,0.07304347826086957,0.10736899680755788,0.03366108093289068,0.8589699222595515,True
2024-04-13,Guimaraes,Farense,0.6180910495661476,0.23641982645905146,0.1454891239748009,0.2627071661213442,0.1495313048851062,0.5877615289935496,True
2021-10-27,Real Madrid,Osasuna,0.7242136064374541,0.1711777615215801,0.10460863204096561,0.14888020728057427,0.06259039954061374,0.788529393178812,True
2025-05-25,Tottenham,Brighton,0.22519656132407379,0.21843546363997918,0.556367975035947,0.19153648401110562,0.6079212171831708,0.20054229880572363,True
2024-09-15,Oviedo,Cartagena,0.5433938829374321,0.2685918335662164,0.18801428349635152,0.27797633351457085,0.18039424621052658,0.5416294202749026,True
2021-10-02,Man United,Everton,0.6543619089837492,0.21912812194605918,0.12650996907019152,0.19109494887055947,0.08431458797731609,0.7245904631521245,True
2022-10-23,Hamburg,Magdeburg,0.638655462184874,0.20168067226890757,0.1596638655462185,0.19494463107123783,0.15108598439353252,0.6539693845352297,True
2024-10-06,Feyenoord,Twente,0.5972727631008525,0.22070125195412565,0.18202598494502173,0.23612624538240215,0.15609144074343753,0.6077823138741604,True
2023-03-11,Alaves,Lugo,0.6612580573460769,0.22671704823294064,0.11202489442098243,0.20366441063822593,0.08533647012821767,0.7109991192335564,True
2022-01-02,Eastleigh,Weymouth,0.5803741886216113,0.2277968690339824,0.19182894234440623,0.24190050220787596,0.17036551451372892,0.5877339832783951,True
2024-03-10,Benfica,Estoril,0.8103727714748785,0.12641815235008103,0.06320907617504051,0.12221710155142156,0.0333334409719072,0.8444494574766713,True
2024-01-29,Trabzonspor,Kasimpasa,0.5692192187805826,0.21953720447195677,0.21124357674746064,0.2052676222052992,0.18499243689296543,0.6097399409017353,True
2024-04-21,Torino,Frosinone,0.5689677299756157,0.2500463444892837,0.1809859255351006,0.25054914278834106,0.1905687868886457,0.5588820703230132,True
2024-04-13,Queen of Sth,Edinburgh City,0.8223867822721691,0.10739403862613033,0.0702191791017006,0.05235463693834175,0.029353698953187523,0.9182916641084707,True
2023-02-12,Heerenveen,Feyenoord,0.1962973846605936,0.24537173082574198,0.5583308845136645,0.22349509506726198,0.6269986062354913,0.14950629869724663,True
2021-10-09,Halifax,Weymouth,0.582168995342648,0.24373475271678863,0.1740962519405633,0.26226870298227484,0.17104184485496376,0.5666894521627615,True
2020-12-06,PAOK,Asteras Tripolis,0.7349011223944414,0.17103153393907,0.0940673436664885,0.15156798583498549,0.05877132525768034,0.7896606889073341,True
2021-10-24,Ath Madrid,Sociedad,0.5870375756934711,0.25544067482878063,0.15752174947774808,0.2580413182983487,0.14399115970149678,0.5979675220001546,True
2022-09-17,Stockport,Harrogate,0.6043404859191113,0.24968804286658017,0.14597147121430842,0.24904362856789267,0.14896320668024438,0.6019931647518628,True
2024-10-25,Rennes,Le Havre,0.6427423674343867,0.2329941081949652,0.1242635243706481,0.20999689459177295,0.1358865009664187,0.6541166044418084,True
2023-02-25,St Etienne,Pau FC,0.5813953488372092,0.2616279069767442,0.15697674418604649,0.25170784338888447,0.1448385972454388,0.6034535593656768,True
2023-09-03,Volendam,Twente,0.17191011235955056,0.21011235955056176,0.6179775280898876,0.18975072932054465,0.7023380160124966,0.10791125466695888,True
2022-08-13,Barcelona,Vallecano,0.7837283075200598,0.13659264788206757,0.07967904459787274,0.1573073667884641,0.05778620292370727,0.7849064302878286,True
2021-05-11,Sp Lisbon,Boavista,0.7338551859099806,0.18786692759295504,0.07827788649706459,0.1659866873109957,0.05971309446441103,0.7743002182245934,True
2021-11-07,Santa Clara,Porto,0.11775700934579439,0.20934579439252335,0.6728971962616822,0.18518420170638858,0.730352703964674,0.08446309432893744,True
2023-01-08,Maritimo,Sp Lisbon,0.10606060606060605,0.2121212121212121,0.6818181818181818,0.18875205302399012,0.7298085801715943,0.08143936680441556,True
2022-12-29,Barnsley,Fleetwood Town,0.5835193829916785,0.25208037345240514,0.1644002435559164,0.2497905893850806,0.15943634417227134,0.590773066442648,True
2021-03-02,Yeni Malatyaspor,Besiktas,0.17877094972067037,0.2346368715083799,0.5865921787709497,0.2400043793805533,0.6327001472157829,0.12729547340366376,True
2023-12-16,Man City,Crystal Palace,0.8075788165864264,0.11911787544649789,0.07330330796707563,0.113121420268156,0.031533441985954425,0.8553451377458895,True
2021-12-22,Granada,Ath Madrid,0.15752174947774808,0.25544067482878063,0.5870375756934711,0.2464113188368314,0.6332442438162134,0.12034443734695519,True
2022-04-17,Werder Bremen,Nurnberg,0.5990469707283866,0.23213070115724985,0.16882232811436354,0.19541191610424205,0.16152875463310395,0.6430593292626539,True
2024-02-11,Feyenoord,Sparta Rotterdam,0.8325171400587659,0.11165523996082272,0.05582761998041136,0.07693799732332793,0.017432582837546062,0.905629419839126,True
2023-09-24,Paris SG,Marseille,0.5902192242833053,0.22765598650927488,0.1821247892074199,0.19765705279297124,0.1647244246153779,0.6376185225916509,True
2024-01-10,Fenerbahce,Konyaspor,0.7635381181722072,0.1433102314107835,0.09315165041700929,0.14846525438883057,0.061336479940839836,0.7901982656703297,True
2024-11-25,Newcastle,West Ham,0.631578947368421,0.21052631578947367,0.15789473684210525,0.20890408415474884,0.15807690749132589,0.6330190083539253,True
2024-12-01,AZ Alkmaar,Heracles,0.7093184979137691,0.17969401947148816,0.1109874826147427,0.19217104508730318,0.07116220098732466,0.7366667539253722,True
2023-02-25,Bournemouth,Man City,0.09531917627782954,0.1657724804831818,0.7389083432389886,0.16666159818720877,0.7646881057737793,0.06865029603901192,True
2022-02-16,Apollon,Panathinaikos,0.15572519083969466,0.233587786259542,0.6106870229007634,0.25709496150105404,0.6110369156430108,0.1318681228559352,True
2024-09-22,Ath Bilbao,Celta,0.5607678983833718,0.2576501154734411,0.18158198614318705,0.24797663848791424,0.17141189759904893,0.5806114639130368,True
2023-08-12,Eastleigh,Wealdstone,0.5811043763554468,0.24773397097258518,0.17116165267196795,0.25271655430305934,0.17066660294727437,0.5766168427496663,True
2024-03-03,Ath Madrid,Betis,0.6072187370353144,0.2269841469393913,0.1657971160252945,0.19146245843547954,0.1596213264811682,0.6489162150833522,True
2024-04-09,Mansfield,Forest Green,0.7112375533428166,0.18918918918918923,0.09957325746799432,0.1562439736473275,0.0702691581352076,0.7734868682174649,True
2023-05-02,Arsenal,Chelsea,0.5913978494623655,0.23655913978494622,0.17204301075268816,0.20074172104392338,0.15721964498238877,0.6420386339736879,True
2022-01-22,Bournemouth,Hull,0.6045340050377834,0.23727959697732998,0.15818639798488665,0.23272592672463138,0.1571942329704238,0.6100798403049449,True
2023-01-14,Cagliari,Como,0.5392195506503745,0.2621206148994876,0.19865983445013796,0.2671300556651916,0.18165826568159874,0.5512116786532097,True
2023-03-08,Hibernian,Rangers,0.15854770503220061,0.21969658895916944,0.6217557060086298,0.2021140965979419,0.698562023542949,0.09932387985910905,True
2021-10-16,Brentford,Chelsea,0.14597147121430845,0.24968804286658022,0.6043404859191114,0.236000605975631,0.6368431243128237,0.12715626971154514,True
2022-04-22,Twente,Sparta Rotterdam,0.5910104204468868,0.2504017833998652,0.15858779615324795,0.24166721989823872,0.16922644175324236,0.5891063383485189,True
2023-01-15,Atalanta,Salernitana,0.6756756756756757,0.1891891891891892,0.13513513513513511,0.19810418453545445,0.07879785661217549,0.7230979588523702,True
2024-12-16,Porto,Estrela,0.8250825082508252,0.1254125412541254,0.0495049504950495,0.07571309776939751,0.02717642836887792,0.8971104738617246,True
